Sample	d_pre_nokat_clock	group
CURTIS_H004187_T01_01_WG01	1.11089311850492	IC10
CURTIS_H004188_T02_01_WG01	0.43760972600384	ER+ Typical
CURTIS_H004189_T01_01_WG01	0.0890760861749256	ER+ High
CURTIS_H004193_T01_01_WG01	0.908723312607963	IC10
CURTIS_H004194_T01_01_WG01	1.0790138279374	ER+ Typical
CURTIS_H004196_T01_01_WG01	0	ER+ Typical
CURTIS_H004197_T01_01_WG01	0.330101728916175	HER2+
CURTIS_H004203_T01_01_WG01	0.127411561665518	ER+ High
CURTIS_H004203_T01_01_WG01	0.449330600305682	ER+ High
CURTIS_H004205_T01_01_WG01	0.923413754917531	ER+ High
CURTIS_H004206_T01_01_WG01	0.300669167670891	ER+ Typical
CURTIS_H004207_T01_01_WG01	0.215220520179013	HER2+
CURTIS_H004212_T01_01_WG01	0.14343284958971	ER+ Typical
CURTIS_H004213_T01_01_WG01	0.242800614757056	HER2+
CURTIS_H004219_T01_01_WG01	0.155605477890184	HER2+
CURTIS_H004226_T01_01_WG01	0.269284071295596	ER+ High
CURTIS_H004228_T01_01_WG01	0	IC10
CURTIS_H004229_T01_01_WG01	0.280697956478489	ER+ Typical
CURTIS_H004230_T01_01_WG01	0.27600207598508	ER+ High
CURTIS_H004231_T01_01_WG01	0	ER+ High
CURTIS_H004237_T01_01_WG01	0.0614100478276453	ER+ High
CURTIS_H004238_T01_01_WG01	0.13461955639876	ER+ High
CURTIS_H004242_T01_01_WG01	0.617130555205213	IC10
CURTIS_H004243_T01_01_WG01	0.404337288275615	ER+ Typical
CURTIS_H004243_T01_01_WG01	0.214974023327775	ER+ Typical
CURTIS_H004244_T02_01_WG01	0	ER+ High
CURTIS_H004245_T01_01_WG01	0.806689526094085	ER+ Typical
CURTIS_H004245_T01_01_WG01	1.04385446641107	ER+ Typical
CURTIS_H004246_T01_01_WG01	0.214907875766655	ER+ High
CURTIS_H004248_T01_01_WG01	0.363809837557599	ER+ Typical
CURTIS_H004256_T01_01_WG01	0.0960270255951236	HER2+
CURTIS_H004256_T01_01_WG01	0.221660342977342	HER2+
CURTIS_H004259_T01_01_WG01	0.476730751815643	HER2+
CURTIS_H004259_T01_01_WG01	0.809235368040539	HER2+
CURTIS_H004260_T01_01_WG01	1.07724754454521	HER2+
CURTIS_H004267_T01_01_WG01	0	ER+ Typical
CURTIS_H004268_T01_01_WG01	0.18410507087202	ER+ High
CURTIS_H004268_T01_01_WG01	0.271150610019878	ER+ High
CURTIS_H004284_T01_01_WG01	0	ER+ High
CURTIS_H004285_T01_01_WG01	0.0519909064332754	ER+ High
CURTIS_H004291_T01_01_WG01	0.514343554097381	ER+ High
CURTIS_H004294_T01_01_WG01	0	ER+ High
CURTIS_H004295_T01_01_WG01	0.480467609051457	ER+ Typical
CURTIS_H004305_T01_01_WG01	0.285331377958954	HER2+
CURTIS_H004305_T01_01_WG01	0.209659577785606	HER2+
CURTIS_H004310_T01_01_WG01	0.170544411188456	HER2+
CURTIS_H004313_T01_01_WG01	0.269237482313883	HER2+
CURTIS_H004314_T01_01_WG01	0.529742816663511	ER+ High
CURTIS_H004317_T01_01_WG01	1.29476066695	ER+ High
CURTIS_H004317_T01_01_WG01	0	ER+ High
CURTIS_H004317_T01_01_WG01	0.181242692875707	ER+ High
CURTIS_H004317_T01_01_WG01	0.229505025984874	ER+ High
CURTIS_H004320_T01_01_WG01	1.15688908219023	HER2+
CURTIS_H004321_T01_01_WG01	0.189906705069378	ER+ High
CURTIS_H004323_T01_01_WG01	0.622821695954216	HER2+
CURTIS_H004327_T01_01_WG01	0.596589132613483	IC10
CURTIS_H004329_T01_01_WG01	0	ER+ High
CURTIS_H004330_T01_01_WG01	0.513522726293086	HER2+
